sport,event,year,athlete_id,country_id,bronze,silver,gold
Biathlon,Biathlon Men's 10 kilometres Sprint,01/01/2014,130959,92,,,
Biathlon,Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay,01/01/2014,130959,92,1,,
Biathlon,Biathlon Men's 12.5 kilometres Pursuit,01/01/2014,130959,92,,,
Biathlon,Biathlon Men's 15 kilometres Mass Start,01/01/2014,130959,92,,,
Biathlon,Biathlon Men's 20 kilometres,01/01/2014,130959,92,,,
Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,01/01/2014,130959,92,,,
Biathlon,Biathlon Men's 10 kilometres Sprint,01/01/2014,130960,92,,,
Biathlon,Biathlon Men's 20 kilometres,01/01/2014,130960,92,,,
Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,01/01/2014,130960,92,,,
Alpine Skiing,Alpine Skiing Women's Giant Slalom,01/01/2014,131090,71,,,
Alpine Skiing,Alpine Skiing Women's Slalom,01/01/2014,131090,71,,,
Cross Country Skiing,Cross Country Skiing Men's Sprint,01/01/2014,131879,12,,,
Cross Country Skiing,Cross Country Skiing Men's Team Sprint,01/01/2014,131879,12,,,
Alpine Skiing,Alpine Skiing Women's Giant Slalom,01/01/2014,131996,40,,,
Alpine Skiing,Alpine Skiing Women's Slalom,01/01/2014,131996,40,,,
Cross Country Skiing,Cross Country Skiing Men's Sprint,01/01/2014,132080,40,,,
Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,01/01/2014,132080,40,,,
Cross Country Skiing,Cross Country Skiing Men's 30 km Skiathlon,01/01/2014,132080,40,,,
Alpine Skiing,Alpine Skiing Women's Downhill,01/01/2014,132203,152,,,
Alpine Skiing,Alpine Skiing Women's Super G,01/01/2014,132203,152,,,
Alpine Skiing,Alpine Skiing Women's Combined,01/01/2014,132203,152,,,
Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,01/01/2014,132638,152,,,
Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,01/01/2014,132638,152,,1,
Cross Country Skiing,Cross Country Skiing Men's 30 km Skiathlon,01/01/2014,132773,9,,,
Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,01/01/2014,133120,94,,,
Cross Country Skiing,Cross Country Skiing Men's Sprint,01/01/2014,133187,73,,,
Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,01/01/2014,133187,73,,,
Cross Country Skiing,Cross Country Skiing Men's Team Sprint,01/01/2014,133187,73,,,
Alpine Skiing,Alpine Skiing Men's Slalom,01/01/2014,133408,94,,,
Alpine Skiing,Alpine Skiing Men's Slalom,01/01/2014,133440,179,,,
Alpine Skiing,Alpine Skiing Women's Downhill,01/01/2014,133523,34,,,
Alpine Skiing,Alpine Skiing Women's Super G,01/01/2014,133523,34,,,
Alpine Skiing,Alpine Skiing Women's Giant Slalom,01/01/2014,133712,52,,,
Alpine Skiing,Alpine Skiing Women's Slalom,01/01/2014,133712,52,,,
Alpine Skiing,Alpine Skiing Women's Combined,01/01/2014,133712,52,,,
Alpine Skiing,Alpine Skiing Men's Downhill,01/01/2014,133812,96,,,
Alpine Skiing,Alpine Skiing Men's Super G,01/01/2014,133812,96,,,
Alpine Skiing,Alpine Skiing Men's Combined,01/01/2014,133812,96,,,
Alpine Skiing,Alpine Skiing Men's Super G,01/01/2014,133886,166,,,
Alpine Skiing,Alpine Skiing Men's Giant Slalom,01/01/2014,133886,166,,,
Alpine Skiing,Alpine Skiing Men's Slalom,01/01/2014,133886,166,,,
Alpine Skiing,Alpine Skiing Men's Combined,01/01/2014,133886,166,,,
Alpine Skiing,Alpine Skiing Men's Super G,01/01/2014,133887,166,,,
Alpine Skiing,Alpine Skiing Men's Giant Slalom,01/01/2014,133887,166,,,
Alpine Skiing,Alpine Skiing Men's Slalom,01/01/2014,133887,166,,,
Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,01/01/2014,134101,193,,,
Cross Country Skiing,Cross Country Skiing Women's 15 km Skiathlon,01/01/2014,134101,193,,,
Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,01/01/2014,134101,193,,,
Alpine Skiing,Alpine Skiing Men's Giant Slalom,01/01/2014,134108,108,,,
Alpine Skiing,Alpine Skiing Men's Slalom,01/01/2014,134108,108,,,
Biathlon,Biathlon Women's 7.5 kilometres Sprint,01/01/2014,134154,152,,,
Biathlon,Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay,01/01/2014,134154,152,,,
Biathlon,Biathlon Women's 10 kilometres Pursuit,01/01/2014,134154,152,,,
Biathlon,Biathlon Women's 12.5 kilometres Mass Start,01/01/2014,134154,152,,,
Biathlon,Biathlon Women's 15 kilometres,01/01/2014,134154,152,,,
Biathlon,Biathlon Women's 4 x 6 kilometres Relay,01/01/2014,134154,152,,1,
Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,01/01/2014,134287,71,,,
Cross Country Skiing,Cross Country Skiing Women's 30 kilometres,01/01/2014,134287,71,,,
Cross Country Skiing,Cross Country Skiing Women's 15 km Skiathlon,01/01/2014,134287,71,,,
Alpine Skiing,Alpine Skiing Men's Slalom,01/01/2014,134347,179,,,
Alpine Skiing,Alpine Skiing Women's Giant Slalom,01/01/2014,134389,12,,,
Alpine Skiing,Alpine Skiing Women's Slalom,01/01/2014,134389,12,1,,
Biathlon,Biathlon Women's 7.5 kilometres Sprint,01/01/2014,134591,40,,,
Biathlon,Biathlon Women's 10 kilometres Pursuit,01/01/2014,134591,40,,,
Biathlon,Biathlon Women's 15 kilometres,01/01/2014,134591,40,,,
Biathlon,Biathlon Women's 4 x 6 kilometres Relay,01/01/2014,134591,40,,,
Alpine Skiing,Alpine Skiing Men's Giant Slalom,01/01/2014,134619,40,,,
Alpine Skiing,Alpine Skiing Men's Slalom,01/01/2014,134619,40,,,
Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,01/01/2014,134885,152,,,
Cross Country Skiing,Cross Country Skiing Women's 30 kilometres,01/01/2014,134885,152,,,
Cross Country Skiing,Cross Country Skiing Women's 15 km Skiathlon,01/01/2014,134885,152,,,
Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,01/01/2014,134885,152,,,
Biathlon,Biathlon Men's 10 kilometres Sprint,01/01/2014,135151,29,,,
Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,01/01/2014,135151,29,,,
Alpine Skiing,Alpine Skiing Men's Downhill,01/01/2014,135293,49,,,
Alpine Skiing,Alpine Skiing Men's Super G,01/01/2014,135293,49,,,
Alpine Skiing,Alpine Skiing Men's Slalom,01/01/2014,135293,49,,,
Alpine Skiing,Alpine Skiing Men's Combined,01/01/2014,135293,49,,,
Alpine Skiing,Alpine Skiing Men's Giant Slalom,01/01/2014,135334,49,,,
Alpine Skiing,Alpine Skiing Men's Super G,01/01/2014,135485,152,,,
Alpine Skiing,Alpine Skiing Men's Giant Slalom,01/01/2014,135485,152,,,
Alpine Skiing,Alpine Skiing Men's Slalom,01/01/2014,135485,152,,,
Alpine Skiing,Alpine Skiing Men's Giant Slalom,01/01/2014,135500,102,,,
Alpine Skiing,Alpine Skiing Men's Slalom,01/01/2014,135500,102,,,
